Name,Label,Width (in),Depth (in),Height (in),Material,Color
Wall Cabinet Bryan,Overhead Storage,33.0,12.9,33.5,MDF,White
Stove Area Stuart,Appliance Space,33.0,25.0,36.0,Steel,Black
Base Cabinet Travis,Storage,35.4,24.8,34.6,Plywood,Walnut
Sink Base Eric,Sink Unit,35.0,24.4,34.9,Quartz,White
Stove Area James,Appliance Space,33.0,24.7,36.0,Steel,Silver
Stove Area Katherine,Appliance Space,32.4,24.8,36.0,Steel,Black
Island Sean,Island Counter,58.9,31.7,36.0,Quartz,Gray
Pantry Unit Christopher,Tall Storage,29.7,24.2,84.8,MDF,Maple
Pantry Unit Frank,Tall Storage,28.3,24.3,85.4,MDF,Black
Wall Cabinet Miguel,Overhead Storage,35.9,13.8,25.8,MDF,Birch
Sink Base Bernard,Sink Unit,34.5,24.4,34.9,MDF,Silver
Base Cabinet Samantha,Storage,33.9,24.7,35.8,Plywood,Walnut
Base Cabinet Madison,Storage,32.2,24.4,34.1,Plywood,Gray
Stove Area Michael,Appliance Space,30.8,24.3,36.0,Composite,Silver
Wall Cabinet Karl,Overhead Storage,30.4,13.5,28.4,Plywood,Birch
Base Cabinet Johnny,Storage,35.4,24.1,35.5,MDF,Gray
Wall Cabinet Stacy,Overhead Storage,35.4,13.9,28.6,MDF,White
Sink Base Judy,Sink Unit,35.7,24.3,35.3,SS,Silver
Stove Area Cindy,Appliance Space,32.8,24.3,36.0,Steel,Black
Island Charles,Island Counter,58.6,31.6,36.0,Laminate,Gray
Island Cindy,Island Counter,53.7,32.6,36.0,Quartz,White
Pantry Unit Stephanie,Tall Storage,28.6,24.7,84.5,MDF,Maple
Base Cabinet Heidi,Storage,33.1,24.4,34.3,Plywood,Walnut
Base Cabinet Kathryn,Storage,33.5,24.2,35.5,Plywood,Walnut
Wall Cabinet Rodney,Overhead Storage,35.0,12.3,34.9,MDF,White
Pantry Unit Leah,Tall Storage,28.9,24.4,90.0,MDF,Black
Pantry Unit Cody,Tall Storage,25.2,24.8,86.1,MDF,Espresso
Base Cabinet Vanessa,Storage,32.3,24.7,34.9,Plywood,Walnut
Sink Base Joshua,Sink Unit,34.1,24.6,35.9,MDF,White
Wall Cabinet Madison,Overhead Storage,34.6,13.9,25.6,Plywood,Birch
